c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;429;671;374;352;474;92937;691.23;94937.6;1009.12;-0.1466079053057905
0;418;682;374;366;460;93437;691.23;95198.5;971.087;-0.1290920511867743
0;409;691;374;381;445;93937;691.23;95460.6;933.417;-0.1116863949662586
0;400;700;375;396;429;94437;691.23;95723.9;895.913;-0.09439141350502246
0;378;722;367;406;427;94937;691.23;95988.8;858.488;-0.07713232884106414
0;368;732;366;421;413;95437;691.23;96255.8;821.309;-0.06000483851782019
0;355;745;363;435;402;95937;691.23;96525.3;784.77;-0.04313665261711672
0;341;759;358;449;393;96437;691.23;96798.4;748.584;-0.02648783750017913
0;324;776;351;462;387;96937;691.23;97074.1;713.071;-0.0100719479553762
0;274;826;373;463;364;97437;691.23;97434.1;690.833;1.832859927067237e-008
0;251;849;399;481;320;97937;691.23;97861.3;690.675;5.547757923746746e-007
0;238;862;387;510;303;98437;691.23;98323.6;619.241;8.312466522747024e-007
0;243;857;380;556;264;98937;691.23;98911.3;551.581;1.884734502310176e-007
0;224;876;346;584;270;99437;691.23;99367.8;501.909;5.077364143870389e-007
0;601;499;415;142;643;85937;791.23;91034.6;1601.41;-0.3736224905426025
0;590;510;404;156;640;86437;791.23;91280.6;1560.94;-0.3549561832394629
0;579;521;394;170;636;86937;791.23;91527.9;1520.69;-0.3364345701972285
0;564;536;386;182;632;87437;791.23;91775.8;1480.58;-0.3179659915220837
0;543;557;383;191;626;87937;791.23;92027.6;1441.21;-0.2997739671346162
0;525;575;377;202;621;88437;791.23;92283.6;1402.37;-0.2818944876055816
0;517;583;378;217;605;88937;791.23;92540.7;1363.85;-0.2640905320421274
0;511;589;379;233;588;89437;791.23;92798.8;1325.47;-0.2463690644880263
0;495;605;374;245;581;89937;791.23;93057.2;1287.09;-0.2286710234883181
0;487;613;376;260;564;90437;791.23;93315.6;1248.65;-0.2109538742370825
0;481;619;377;276;547;90937;791.23;93573.7;1210.28;-0.1932480464450384
0;460;640;369;286;545;91437;791.23;93832.3;1171.88;-0.1755407963783251
0;442;658;365;297;538;91937;791.23;94091;1133.51;-0.1578544327874953
0;436;664;367;313;520;92437;791.23;94350.5;1095.3;-0.1402261219682801
0;430;670;369;329;502;92937;791.23;94609.9;1057.09;-0.1226057555873182
0;431;669;374;348;478;93437;791.23;94870.2;1018.99;-0.1050312924063801
0;422;678;373;363;464;93937;791.23;95130.9;980.971;-0.08750050160371389
0;411;689;374;377;449;94437;791.23;95393.2;943.05;-0.07007461895967448
0;404;696;374;393;433;94937;791.23;95656.2;905.491;-0.05270883949587842
0;387;713;369;405;426;95437;791.23;95921;868.065;-0.03546819973607335
0;368;732;365;416;419;95937;791.23;96186.1;830.908;-0.01829775926465168
0;355;745;362;430;408;96437;791.23;96455.6;794.111;-0.001362952664815796
0;307;793;406;438;356;96937;791.23;96928.8;790.79;2.027756835451692e-008
0;258;842;297;445;458;97437;791.23;97185.2;734.387;1.845603996987006e-006
0;251;849;399;479;322;97937;791.23;97833.9;694.108;7.553842689278439e-007
0;238;862;387;510;303;98437;791.23;98323.6;619.241;8.314772083297961e-007
0;243;857;380;556;264;98937;791.23;98911.3;551.581;1.887040062861112e-007
0;224;876;346;584;270;99437;791.23;99367.8;501.909;5.079669704421326e-007
0;625;475;420;130;650;85937;891.23;90725.6;1652.36;-0.3510000630950849
0;605;495;417;139;644;86437;891.23;90971.1;1611.93;-0.3323551795953134
0;594;506;406;153;641;86937;891.23;91217;1571.39;-0.313661447925511
0;583;517;395;167;638;87437;891.23;91462.9;1531.05;-0.2950583663141459
0;568;532;388;179;633;87937;891.23;91712.3;1490.73;-0.2766650701906851
0;551;549;382;190;628;88437;891.23;91962;1451.37;-0.2583221300751686
0;534;566;380;201;619;88937;891.23;92217.1;1412.49;-0.2403855344724544
0;514;586;375;211;614;89437;891.23;92473.5;1373.9;-0.2225859202515048
0;508;592;376;227;597;89937;891.23;92731.6;1335.45;-0.204855179481045
0;490;610;372;238;590;90437;891.23;92990.4;1296.99;-0.1871185887474531
0;484;616;373;254;573;90937;891.23;93248.4;1258.61;-0.1694212442691236
0;466;634;369;265;566;91437;891.23;93507.2;1220.15;-0.1517108509713541
0;460;640;370;281;549;91937;891.23;93765.3;1181.78;-0.1339913759245568
0;442;658;366;292;542;92437;891.23;94024;1143.4;-0.1163031150533898
0;438;662;367;309;524;92937;891.23;94283.1;1105.22;-0.09868418576384372
0;432;668;369;325;506;93437;891.23;94542.6;1067.02;-0.08106659206287376
0;428;672;371;342;487;93937;891.23;94803;1028.68;-0.06346708056173531
0;424;676;373;359;468;94437;891.23;95063.5;990.723;-0.04591352837221183
0;416;684;377;374;449;94937;891.23;95324.7;952.9;-0.02843973986523888
0;404;696;374;388;438;95437;891.23;95587.9;915.213;-0.01106013288772519
1;303;796;375;366;459;95937;891.23;95932.9;891.022;3.034196951636185e-008
0;317;783;419;405;376;96437;891.23;96432.1;877.122;6.505795075061186e-007
0;274;826;429;414;357;96937;891.23;96840.8;874.712;7.047059708798021e-007
0;258;842;418;445;337;97437;891.23;97350.8;792.958;6.317475341816316e-007
0;251;849;399;479;322;97937;891.23;97833.9;694.108;7.556148249829377e-007
0;238;862;387;510;303;98437;891.23;98323.6;619.241;8.317077643848898e-007
0;243;857;380;556;264;98937;891.23;98911.3;551.581;1.889345623412049e-007
0;224;876;346;584;270;99437;891.23;99367.8;501.909;5.081975264972262e-007
0;636;464;436;111;653;85937;991.23;90418.2;1703.18;-0.328397331837882
0;618;482;431;121;648;86437;991.23;90661.9;1662.83;-0.309711731564437
0;618;482;411;141;648;86937;991.23;90908;1622.29;-0.2910200407709996
0;598;502;408;150;642;87437;991.23;91153.4;1581.9;-0.2723930880802161
0;587;513;397;164;639;87937;991.23;91399.3;1541.5;-0.2537633679430177
0;572;528;390;176;634;88437;991.23;91648.7;1501.04;-0.235364152554546
0;555;545;383;187;630;88937;991.23;91897;1461.36;-0.2169208785532059
0;538;562;380;198;622;89437;991.23;92150.8;1422.51;-0.1988905513382628
0;516;584;376;207;617;89937;991.23;92407.5;1383.77;-0.1810500421199037
0;517;583;379;226;595;90437;991.23;92665.1;1345.34;-0.1633019039636542
0;504;596;378;239;583;90937;991.23;92923.7;1306.91;-0.1455921990881052
0;493;607;376;253;571;91437;991.23;93181.9;1268.5;-0.127875682867981
0;482;618;374;267;559;91937;991.23;93440.2;1230.14;-0.1101733454312025
0;474;626;376;282;542;92437;991.23;93698.6;1191.73;-0.0924632640065316
0;453;647;368;292;540;92937;991.23;93957.2;1153.3;-0.07476383510511891
0;447;653;370;308;522;93437;991.23;94216.6;1115.08;-0.05713524504349346
0;433;667;365;321;514;93937;991.23;94476.1;1076.83;-0.03950616949364153
0;430;670;371;338;491;94437;991.23;94735.7;1038.61;-0.02189046894714474
0;424;676;373;354;473;94937;991.23;94995.2;1000.62;-0.00432797668970129
0;396;704;423;365;412;95437;991.23;95391.1;989.819;3.36417228533561e-007
0;337;763;433;369;398;95937;991.23;95832.6;976.428;6.826210754078556e-007
0;291;809;441;379;380;96437;991.23;96271.2;966.176;1.214956450100032e-006
0;283;817;436;394;370;96937;991.23;96520.1;927.259;2.950095166844945e-006
0;258;842;418;445;337;97437;991.23;97350.8;792.958;6.319780902367253e-007
0;251;849;399;479;322;97937;991.23;97833.9;694.108;7.558453810380314e-007
0;238;862;387;510;303;98437;991.23;98323.6;619.241;8.319383204399835e-007
0;243;857;380;556;264;98937;991.23;98911.3;551.581;1.891651183962986e-007
0;224;876;346;584;270;99437;991.23;99367.8;501.909;5.084280825523199e-007
0;660;440;441;99;660;85937;1091.23;90109.2;1754.18;-0.3057519175488249
0;651;449;429;114;657;86437;1091.23;90354.8;1713.69;-0.2871071194477784
0;631;469;426;123;651;86937;1091.23;90600.2;1673.26;-0.268451622011275
0;611;489;422;132;646;87437;1091.23;90844.3;1632.75;-0.2497276061783977
0;602;498;410;147;643;87937;1091.23;91089.8;1592.41;-0.2311247282349212
0;591;509;399;161;640;88437;1091.23;91335.8;1551.96;-0.2124683695718895
0;576;524;391;173;636;88937;1091.23;91583.7;1511.34;-0.193962908214186
0;561;539;384;185;631;89437;1091.23;91833.1;1471.86;-0.1755946706050139
0;540;560;381;194;625;89937;1091.23;92084.9;1432.41;-0.1574026443439002
0;520;580;376;204;620;90437;1091.23;92341.2;1393.69;-0.1395484623548975
0;507;593;374;217;609;90937;1091.23;92598.5;1355.28;-0.1217683151953406
0;501;599;375;233;592;91437;1091.23;92856.5;1316.86;-0.1040513680978543
0;483;617;371;244;585;91937;1091.23;93115.3;1278.42;-0.08634917582237595
0;477;623;372;260;568;92437;1091.23;93373.4;1240.04;-0.06862646162739422
0;466;634;370;274;556;92937;1091.23;93631.6;1201.67;-0.05093065342756566
0;453;647;369;287;544;93437;1091.23;93890.2;1163.23;-0.03321251837714141
0;444;656;367;302;531;93937;1091.23;94149.5;1124.94;-0.01557103677400119
0;380;720;371;293;536;94437;1091.23;94436.7;1090.36;4.003548037846155e-008
0;369;731;431;318;451;94937;1091.23;94930.2;1080.69;4.859380785352989e-007
0;326;774;447;333;420;95437;1091.23;95429.1;1071.2;9.238485001881558e-007
